,customerid,churn,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines
0,0002-ORFBO,No,DSL,No,Yes,No,Yes,Yes,No,One year,1,Mailed check,65.6,593.3,Female,0,1,1,9,1,No
1,0003-MKNFE,No,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,59.9,542.4,Male,0,0,0,9,1,Yes
2,0004-TLHLJ,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,73.9,280.85,Male,0,0,0,4,1,No
3,0011-IGKFF,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.0,1237.85,Male,1,1,0,13,1,No
4,0013-EXCHZ,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,83.9,267.4,Female,1,1,0,3,1,No
5,0013-MHZWF,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),69.4,571.45,Female,0,0,1,9,1,No
6,0013-SMEOE,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.7,7904.25,Female,1,1,0,71,1,No
7,0014-BMAQU,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,1,Credit card (automatic),84.65,5377.8,Male,0,1,0,63,1,Yes
8,0015-UOCOJ,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,48.2,340.35,Female,1,0,0,7,1,No
9,0016-QLJIS,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,90.45,5957.9,Female,0,1,1,65,1,Yes
10,0017-DINOC,No,DSL,Yes,No,No,Yes,Yes,No,Two year,0,Credit card (automatic),45.2,2460.55,Male,0,0,0,54,0,No phone service
11,0017-IUDMW,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.8,8456.75,Female,0,1,1,72,1,Yes
12,0018-NYROU,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,68.95,351.5,Female,0,1,0,5,1,No
13,0019-EFAEP,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),101.3,7261.25,Female,0,0,0,72,1,Yes
14,0019-GFNTW,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),45.05,2560.1,Female,0,0,0,56,0,No phone service
15,0020-INWCK,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,1,Credit card (automatic),95.75,6849.4,Female,0,1,1,71,1,Yes
16,0020-JDNXP,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Mailed check,61.25,1993.2,Female,0,1,1,34,0,No phone service
17,0021-IKXGC,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,72.1,72.1,Female,1,0,0,1,1,Yes
18,0022-TCJCI,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),62.7,2791.5,Male,1,0,0,45,1,No
19,0023-HGHWL,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,25.1,25.1,Male,1,0,0,1,0,No phone service
20,0023-UYUPN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.2,1306.3,Female,1,1,0,50,1,Yes
21,0023-XUOPT,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Electronic check,94.1,1215.6,Female,0,1,0,13,1,Yes
22,0027-KWYKW,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.75,1849.95,Female,0,1,1,23,1,Yes
23,0030-FNXPP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,57.2,Female,0,0,0,3,1,No
24,0031-PVLZI,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,76.35,Female,0,1,1,4,1,No
25,0032-PGELS,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),30.5,30.5,Female,0,1,1,1,0,No phone service
26,0036-IHMOT,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),103.7,5656.75,Female,0,1,1,55,1,No
27,0040-HALCW,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,1090.6,Male,0,1,1,54,1,No
28,0042-JVWOJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,471.85,Male,0,0,0,26,1,No
29,0042-RLHYP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,1396.9,Female,0,1,1,69,1,No
30,0047-ZHDTW,no info,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),79.0,929.3,Female,0,0,0,11,1,Yes
31,0048-LUMLS,No,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Credit card (automatic),91.2,3247.55,Male,0,1,1,37,1,No
32,0048-PIHNL,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,900.9,Female,0,1,0,49,1,No
33,0052-DCKON,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),115.8,7942.15,Male,0,1,0,66,1,Yes
34,0052-YNYOT,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,1343.4,Female,0,0,0,67,1,No
35,0056-EPFBG,No,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),39.4,825.4,Male,0,1,1,20,0,No phone service
36,0057-QBUQH,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,25.1,1070.15,Female,0,0,1,43,1,Yes
37,0058-EVZWM,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,Female,0,1,0,55,1,Yes
38,0060-FUALY,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,94.75,5597.65,Female,0,1,0,59,1,Yes
39,0064-SUDOG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,224.5,Female,0,1,1,12,1,No
40,0064-YIJGF,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.75,1929,Male,0,1,1,27,1,Yes
41,0067-DKWBL,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.25,91.1,Male,1,0,0,2,1,No
42,0068-FIGTF,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,0,Mailed check,78.2,2078.95,Female,0,0,0,27,1,No
43,0071-NDAFP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,630.6,Male,0,1,1,25,1,Yes
44,0074-HDKDG,No,DSL,Yes,Yes,Yes,No,No,No,One year,1,Bank transfer (automatic),61.6,1611,Male,0,1,1,25,1,No
45,0076-LVEPS,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,1,Mailed check,45.0,1242.45,Male,0,0,1,29,0,No phone service
46,0078-XZMHT,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.15,6316.2,Male,0,1,0,72,1,Yes
47,0080-EMYVY,No,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),51.45,727.85,Female,0,0,0,14,1,No
48,0080-OROZO,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,99.25,3532,Female,0,0,0,35,1,No
49,0082-LDZUE,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.3,44.3,Male,0,0,0,1,1,No
50,0082-OQIQY,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.2,2607.6,Male,0,0,0,29,1,No
51,0083-PIVIK,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,0,Electronic check,81.25,5567.55,Male,0,0,0,64,1,Yes
52,0089-IIQKO,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),99.95,3767.4,Female,0,1,1,39,1,Yes
53,0093-EXYQL,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.55,3673.6,Female,1,0,0,40,1,No
54,0093-XWZFY,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),104.5,4036.85,Male,0,0,0,40,1,Yes
55,0094-OIFMO,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.0,1120.3,Female,1,0,0,11,1,No
56,0096-BXERS,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,50.35,314.55,Female,0,1,0,6,1,Yes
57,0096-FCPUF,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,64.5,1888.45,Male,0,0,0,30,1,Yes
58,0098-BOWSO,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,529.8,Male,0,0,0,27,1,No
59,0100-DUVFC,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,104.8,7308.95,Male,1,1,0,70,1,Yes
60,0103-CSITQ,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),109.4,6252.7,Female,0,1,0,57,1,Yes
61,0104-PPXDV,No,DSL,No,No,Yes,No,No,No,One year,0,Credit card (automatic),50.3,2878.55,Male,0,1,0,58,1,No
62,0106-GHRQR,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,Male,0,0,0,16,1,Yes
63,0106-UGRDO,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,116.0,8182.85,Female,0,1,0,69,1,Yes
64,0107-WESLM,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,19.85,Male,0,0,0,1,1,No
65,0107-YHINA,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.75,99.75,Male,0,0,1,1,1,Yes
66,0111-KLBQG,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed check,93.95,2861.45,Male,1,1,1,32,1,No
67,0112-QAWRZ,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,Male,0,1,1,16,1,Yes
68,0112-QWPNC,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,84.35,4059.35,Male,0,1,0,49,1,Yes
69,0114-IGABW,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),58.25,4145.9,Female,0,1,0,71,0,No phone service
70,0114-PEGZZ,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,107.55,3645.5,Female,0,0,0,33,1,Yes
71,0114-RSRRW,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,187.75,Female,0,1,0,10,1,No
72,0115-TFERT,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,111.2,2317.1,Male,0,1,0,21,1,Yes
73,0117-LFRMW,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,Male,0,1,1,37,0,No phone service
74,0118-JPNOY,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),85.8,2193.65,Female,1,0,0,26,1,No
75,0120-YZLQA,no info,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.9,1355.1,Male,0,0,0,71,1,No
76,0121-SNYRK,No,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,35.4,1748.9,Male,0,0,0,50,0,No phone service
77,0122-OAHPZ,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.85,511.25,Female,0,0,0,7,1,Yes
78,0123-CRBRT,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,88.1,5526.75,Female,0,1,1,61,1,Yes
79,0125-LZQXK,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.35,1553.95,Male,0,0,0,15,1,No
80,0128-MKWSG,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,45.8,1147,Female,0,0,1,26,0,No phone service
81,0129-KPTWJ,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.65,6747.35,Male,0,1,0,72,1,No
82,0129-QMPDR,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.5,865.05,Male,0,1,1,44,1,No
83,0130-SXOUN,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),89.4,5976.9,Male,0,0,0,66,1,Yes
84,0133-BMFZO,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,86.25,181.65,Female,0,0,0,2,1,No
85,0134-XWXCE,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),74.85,3268.05,Female,1,0,0,44,1,No
86,0135-NMXAP,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,Female,0,0,0,12,1,Yes
87,0136-IFMYD,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.95,7634.25,Male,1,1,0,69,1,Yes
88,0137-OCGAB,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,80.2,80.2,Female,0,0,0,1,1,Yes
89,0137-UDEUO,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,63.75,Female,0,0,0,3,1,No
90,0139-IVFJG,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,90.35,190.5,Female,0,1,0,2,1,No
91,0141-YEAYS,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,Female,1,0,0,27,1,Yes
92,0142-GVYSN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.3,511.25,Male,0,0,0,26,1,No
93,0147-ESWWR,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.25,3949.15,Female,1,1,0,39,1,Yes
94,0148-DCDOS,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,Male,0,0,0,25,1,Yes
95,0151-ONTOV,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.9,70.9,Female,0,0,0,1,1,No
96,0154-QYHJU,no info,DSL,Yes,Yes,No,Yes,No,No,One year,1,Electronic check,58.75,1696.2,Male,0,0,0,29,1,No
97,0156-FVPTA,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic check,54.2,1152.7,Male,0,1,0,22,1,No
98,0162-RZGMZ,no info,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.9,287.85,Female,1,0,0,5,1,No
99,0164-APGRB,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,114.9,8496.7,Female,0,0,0,72,1,Yes
100,0164-XAIRP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.55,470.2,Female,0,0,0,24,1,No
101,0168-XZKBB,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,86.85,1564.4,Female,0,1,0,19,1,Yes
102,0174-QRVVY,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.35,1847.55,Male,0,1,1,71,1,Yes
103,0177-PXBAT,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,Male,1,1,0,33,1,Yes
104,0178-CIIKR,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,58,Female,0,0,0,3,1,No
105,0178-SZBHO,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,87.2,4017.45,Male,0,1,1,47,1,Yes
106,0181-RITDD,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,108.15,6825.65,Male,0,1,1,62,1,No
107,0186-CAERR,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),116.3,8309.55,Male,0,0,0,71,1,Yes
108,0187-QSXOE,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.0,605.45,Male,1,1,0,7,1,No
109,0187-WZNAB,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,74.4,1972.35,Female,0,1,1,27,1,No
110,0188-GWFLE,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,33.7,Male,0,0,0,2,1,No
111,0191-EQUUH,No,DSL,Yes,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),35.05,844.45,Female,0,0,1,25,0,No phone service
112,0191-ZHSKZ,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,Male,1,0,0,30,1,No
113,0193-ESZXP,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),105.5,6205.5,Female,1,1,0,58,1,No
114,0195-IESCP,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.25,855.3,Male,0,1,0,10,1,Yes
115,0196-JTUQI,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),75.2,633.85,Female,0,0,0,9,1,Yes
